GenBank acession;country;year;source
OP508645.1;Brazil;2020;Alouatta sp
OP508636.1;Brazil;2020;Alouatta sp
OP508701.1;Brazil;2021;Alouatta sp
OP508707.1;Brazil;2021;Alouatta sp
OP508676.1;Brazil;2019;Alouatta sp
OP508710.1;Brazil;2021;Alouatta sp
OP508670.1;Brazil;2021;Alouatta sp
OP508669.1;Brazil;2021;Alouatta sp
OP508664.1;Brazil;2021;Alouatta sp
OP508603.1;Brazil;2019;Alouatta sp
OP508599.1;Brazil;2019;Alouatta sp
OP508628.1;Brazil;2020;Alouatta sp
OP508662.1;Brazil;2021;Alouatta sp
OP508623.1;Brazil;2020;Alouatta sp
OP508637.1;Brazil;2020;Alouatta guariba clamitans
OP508635.1;Brazil;2020;Alouatta sp
OP508632.1;Brazil;2020;Alouatta sp
OP508612.1;Brazil;2020;Alouatta sp
OP508620.1;Brazil;2020;Alouatta sp
OP508626.1;Brazil;2020;Alouatta sp
OP508610.1;Brazil;2020;Alouatta sp
OP508663.1;Brazil;2021;Alouatta sp
OP508642.1;Brazil;2020;Alouatta sp
OP508618.1;Brazil;2020;Alouatta sp
OP508614.1;Brazil;2019;Alouatta sp
OP508607.1;Brazil;2020;Alouatta sp
OP508696.1;Brazil;2020;Alouatta sp
MZ712136.1;Brazil;2021;Alouatta guariba clamitans
MZ712135.1;Brazil;2021;Alouatta guariba clamitans
OP508665.1;Brazil;2021;Alouatta sp
MZ712142.1;Brazil;2021;Alouatta guariba clamitans
OP508643.1;Brazil;2020;Alouatta sp
MZ712141.1;Brazil;2021;Alouatta guariba clamitans
OP508681.1;Brazil;2020;Alouatta sp
OP508600.1;Brazil;2019;Alouatta sp
OP508617.1;Brazil;2020;Alouatta sp
OP508631.1;Brazil;2020;Non-human primate (NHP)
OP508621.1;Brazil;2020;Alouatta sp
OP508687.1;Brazil;2021;Alouatta sp
OP508587.1;Brazil;2019;Homo sapiens
OP508630.1;Brazil;2020;Alouatta sp
OP508608.1;Brazil;2020;Alouatta sp
OP508602.1;Brazil;2019;Alouatta sp
ON022559.1;Brazil;2019;Homo sapiens
MZ604869.1;Brazil;2019;Homo sapiens
MZ604841.1;Brazil;2019;Homo sapiens
OP508716.1;Brazil;2021;Alouatta sp
OP508666.1;Brazil;2021;Alouatta sp
OP508658.1;Brazil;2021;Alouatta sp
OP508653.1;Brazil;2021;Alouatta sp
OP508652.1;Brazil;2021;Alouatta sp
OP508650.1;Brazil;2021;Alouatta sp
OP508654.1;Brazil;2021;Alouatta sp
OP508711.1;Brazil;2021;Alouatta sp
MZ712145.1;Brazil;2021;Alouatta guariba clamitans
OP508647.1;Brazil;2020;Alouatta sp
OP508714.1;Brazil;2021;Alouatta sp
OP508712.1;Brazil;2021;Alouatta sp
OP508649.1;Brazil;2020;Alouatta sp
OP508651.1;Brazil;2020;Alouatta sp
OP508656.1;Brazil;2021;Alouatta sp
OP508708.1;Brazil;2021;Alouatta sp
OP508667.1;Brazil;2021;Alouatta sp
OP508627.1;Brazil;2020;Alouatta sp
OP508624.1;Brazil;2020;Alouatta sp
OP508625.1;Brazil;2020;Alouatta sp
OP508609.1;Brazil;2020;Alouatta sp
OP508640.1;Brazil;2020;Alouatta sp
OP508706.1;Brazil;2020;Allouatta clamitans
OP508615.1;Brazil;2020;Alouatta guariba clamitans
OP508703.1;Brazil;2021;Alouatta sp
OP508616.1;Brazil;2020;Alouatta guariba clamitans
MZ604839.1;Brazil;2019;Homo sapiens
MZ604846.1;Brazil;2019;Homo sapiens
ON022549.1;Brazil;2019;Homo sapiens
MZ604853.1;Brazil;2019;Homo sapiens
OP508591.1;Brazil;2019;Homo sapiens
OP508594.1;Brazil;2019;Alouatta sp
OP508598.1;Brazil;2019;Alouatta sp
OP508595.1;Brazil;2019;Alouatta sp
OP508596.1;Brazil;2019;Alouatta sp
OP508675.1;Brazil;2019;Hg janthinomys/capricornii
OP508593.1;Brazil;2019;Alouatta sp
OP508688.1;Brazil;2019;Alouatta sp
MZ604871.1;Brazil;2019;Homo sapiens
MZ604857.1;Brazil;2019;Homo sapiens
ON022548.1;Brazil;2019;Homo sapiens
ON022369.1;Brazil;2019;Non-human primate
ON022658.1;Brazil;2018;Alouatta sp
ON022562.1;Brazil;2019;Homo sapiens
OP508597.1;Brazil;2019;Alouatta sp
OP508592.1;Brazil;2019;Alouatta sp
ON022561.1;Brazil;2019;Homo sapiens
ON022558.1;Brazil;2019;Homo sapiens
ON022555.1;Brazil;2019;Homo sapiens
ON022546.1;Brazil;2019;Homo sapiens
ON022552.1;Brazil;2019;Homo sapiens
MZ604847.1;Brazil;2019;Homo sapiens
MZ604863.1;Brazil;2019;Homo sapiens
MZ604875.1;Brazil;2019;Homo sapiens
MZ604838.1;Brazil;2019;Homo sapiens
MZ604843.1;Brazil;2019;Homo sapiens
MZ604844.1;Brazil;2019;Homo sapiens
MW308135.1;Brazil;2019;Homo sapiens
ON022319.1;Brazil;2019;Homo sapiens
MZ604864.1;Brazil;2019;Homo sapiens
MZ604854.1;Brazil;2019;Homo sapiens
ON022306.1;Brazil;2018;Alouatta sp
MH030059.1;Brazil;2017;Alouatta sp
ON022308.1;Brazil;2018;Alouatta sp
ON022583.1;Brazil;2018;Alouatta sp
ON022595.1;Brazil;2018;Alouatta sp
ON022307.1;Brazil;2018;Homo sapiens
ON022309.1;Brazil;2018;Alouatta sp
MW308134.1;Brazil;2018;Homo sapiens
MZ604850.1;Brazil;2019;Homo sapiens
MZ604858.1;Brazil;2019;Homo sapiens
MZ604860.1;Brazil;2019;Homo sapiens
MZ604867.1;Brazil;2019;Homo sapiens
MZ604849.1;Brazil;2019;Homo sapiens
MZ604851.1;Brazil;2019;Homo sapiens
MZ604852.1;Brazil;2019;Homo sapiens
MZ604874.1;Brazil;2019;Homo sapiens
MZ604848.1;Brazil;2019;Homo sapiens
MZ604855.1;Brazil;2019;Homo sapiens
ON022295.1;Brazil;2018;Haemagogus leucocelaenus
MK583151.1;Brazil;2018;Homo sapiens
MK333798.1;Brazil;2018;Homo sapiens
MH193173.1;Brazil;2018;Alouatta sp
ON022567.1;Brazil;2017;Alouatta sp
MH030063.1;Brazil;2017;Alouatta sp
MH030065.1;Brazil;2017;Alouatta sp
ON022352.1;Brazil;2018;Alouatta sp
MH030061.1;Brazil;2017;Alouatta sp
MH030060.1;Brazil;2017;Alouatta sp
MH030062.1;Brazil;2017;Alouatta sp
ON022337.1;Brazil;2018;Alouatta sp
MH030064.1;Brazil;2017;Alouatta sp
ON022330.1;Brazil;2018;Alouatta sp
MH030050.1;Brazil;2017;Callicebus sp
MK583147.1;Brazil;2018;Homo sapiens
MK583155.1;Brazil;2018;Homo sapiens
MZ604845.1;Brazil;2018;Homo sapiens
ON022743.1;Brazil;2018;Homo sapiens
ON022745.1;Brazil;2018;Homo sapiens
ON022645.1;Brazil;2017;Cebus
ON022644.1;Brazil;2017;Callithrix
ON022628.1;Brazil;2017;Alouatta sp
ON022631.1;Brazil;2017;Alouatta sp
ON022636.1;Brazil;2017;Callicebus
ON022634.1;Brazil;2017;Alouatta sp
ON022642.1;Brazil;2017;Alouatta sp
MH030051.1;Brazil;2017;Alouatta sp
ON022356.1;Brazil;2017;Alouatta sp
ON022353.1;Brazil;2017;Alouatta sp
ON022360.1;Brazil;2018;Alouatta sp
ON022359.1;Brazil;2017;Alouatta sp
ON022354.1;Brazil;2017;Alouatta sp
ON022355.1;Brazil;2017;Alouatta sp
MZ604872.1;Brazil;2018;Homo sapiens
MZ604859.1;Brazil;2018;Homo sapiens
MK583166.1;Brazil;2018;Homo sapiens
MK333799.1;Brazil;2018;Homo sapiens
ON022342.1;Brazil;2018;Callithrix
MK583163.1;Brazil;2018;Homo sapiens
MH030049.1;Brazil;2017;Callithrix
ON022714.1;Brazil;2017;Non-human primate
ON022598.1;Brazil;2018;Non-human primate
ON022709.1;Brazil;2017;Non-human primate
ON022659.1;Brazil;2018;Alouatta sp
ON022570.1;Brazil;2017;Non-human primate
ON022706.1;Brazil;2017;Alouatta sp
MH030055.1;Brazil;2017;Alouatta sp
ON022652.1;Brazil;2017;Non-human primate
ON022674.1;Brazil;2018;Alouatta sp
ON022673.1;Brazil;2018;Alouatta sp
ON022347.1;Brazil;2018;Alouatta sp
ON022358.1;Brazil;2018;Alouatta sp
ON022338.1;Brazil;2018;Alouatta sp
ON022329.1;Brazil;2018;Alouatta sp
ON022345.1;Brazil;2018;Alouatta sp
MH030067.1;Brazil;2017;Alouatta sp
MH030056.1;Brazil;2017;Alouatta sp
MZ604870.1;Brazil;2017;Homo sapiens
ON022296.1;Brazil;2018;Alouatta sp
MH030084.1;Brazil;2017;Alouatta sp
MH030073.1;Brazil;2017;Alouatta sp
MH030083.1;Brazil;2017;Alouatta sp
MK583157.1;Brazil;2018;Homo sapiens
MZ604842.1;Brazil;2018;Homo sapiens
MK583148.1;Brazil;2018;Homo sapiens
ON022361.1;Brazil;2018;Alouatta sp
ON022343.1;Brazil;2018;Callithrix
MH030075.1;Brazil;2017;Alouatta sp
MH030052.1;Brazil;2017;Alouatta sp
MK583153.1;Brazil;2018;Homo sapiens
ON022339.1;Brazil;2018;Alouatta sp
ON022344.1;Brazil;2018;Alouatta sp
ON022336.1;Brazil;2018;Alouatta sp
ON022335.1;Brazil;2018;Alouatta sp
ON022331.1;Brazil;2018;Alouatta sp
ON022333.1;Brazil;2018;Alouatta sp
ON022332.1;Brazil;2018;Alouatta sp
ON022334.1;Brazil;2018;Alouatta sp
ON022351.1;Brazil;2018;Alouatta sp
ON022697.1;Brazil;2018;Alouatta sp
MH193175.1;Brazil;2018;Alouatta sp
MH030085.1;Brazil;2017;Alouatta sp
MK760663.1;Netherlands;2018;Homo sapiens
MK760662.1;Netherlands;2018;Homo sapiens
MK760666.1;Netherlands;2018;Homo sapiens
MK760664.1;Netherlands;2018;Homo sapiens
MK760665.1;Netherlands;2018;Homo sapiens
MK760660.1;Netherlands;2018;Homo sapiens
MK760661.1;Netherlands;2018;Homo sapiens
ON022282.1;Brazil;2018;Homo sapiens
MK583158.1;Brazil;2018;Homo sapiens
MK583165.1;Brazil;2018;Homo sapiens
ON022357.1;Brazil;2017;Alouatta sp
MK583149.1;Brazil;2018;Homo sapiens
MH030076.1;Brazil;2017;Alouatta sp
MH030054.1;Brazil;2017;Alouatta sp
MH030069.1;Brazil;2017;Monkey
MK583167.1;Brazil;2018;Homo sapiens
ON022610.1;Brazil;2017;Alouatta sp
ON022632.1;Brazil;2017;Alouatta sp
ON022315.1;Brazil;2018;Homo sapiens
ON022314.1;Brazil;2018;Non-human primate
MH030053.1;Brazil;2017;Alouatta sp
ON022596.1;Brazil;2017;Alouatta sp
ON022556.1;Brazil;2019;Homo sapiens
ON022557.1;Brazil;2019;Homo sapiens
ON022547.1;Brazil;2019;Homo sapiens
ON022545.1;Brazil;2019;Homo sapiens
ON022560.1;Brazil;2019;Homo sapiens
ON022563.1;Brazil;2019;Homo sapiens
ON022550.1;Brazil;2019;Homo sapiens
ON022676.1;Brazil;2019;Non-human primate
ON022551.1;Brazil;2019;Homo sapiens
ON022370.1;Brazil;2019;Non-human primate
ON022367.1;Brazil;2019;Alouatta sp
ON022368.1;Brazil;2019;Non-human primate
ON022324.1;Brazil;2018;Alouatta sp
ON022323.1;Brazil;2018;Alouatta sp
ON022365.1;Brazil;2018;Alouatta sp
ON022362.1;Brazil;2017;Alouatta sp
ON022341.1;Brazil;2018;Alouatta sp
ON022363.1;Brazil;2017;Alouatta sp
ON022364.1;Brazil;2017;Alouatta sp
ON022569.1;Brazil;2018;Non-human primate
ON022326.1;Brazil;2018;Alouatta sp
ON022328.1;Brazil;2018;Alouatta sp
ON022740.1;Brazil;2018;Homo sapiens
ON022327.1;Brazil;2018;Alouatta sp
ON022325.1;Brazil;2018;Alouatta sp
ON022320.1;Brazil;2018;Alouatta sp
ON022602.1;Brazil;2018;Alouatta sp
ON022321.1;Brazil;2017;Alouatta sp
ON022648.1;Brazil;2017;Alouatta sp
ON022737.1;Brazil;2018;Homo sapiens
ON022739.1;Brazil;2018;Homo sapiens
ON022741.1;Brazil;2018;Homo sapiens
ON022664.1;Brazil;2017;Non-human primate
ON022633.1;Brazil;2017;Alouatta sp
ON022715.1;Brazil;2017;Alouatta sp
ON022638.1;Brazil;2017;Callicebus
ON022613.1;Brazil;2017;Alouatta sp
ON022712.1;Brazil;2017;Alouatta sp
ON022620.1;Brazil;2017;Alouatta sp
ON022711.1;Brazil;2017;Alouatta sp
ON022736.1;Brazil;2018;Homo sapiens
ON022607.1;Brazil;2017;Alouatta sp
ON022713.1;Brazil;2017;Callithrix
ON022601.1;Brazil;2017;Alouatta sp
ON022568.1;Brazil;2017;Alouatta sp
ON022663.1;Brazil;2017;Non-human primate
ON022653.1;Brazil;2017;Non-human primate
ON022571.1;Brazil;2017;Non-human primate
ON022667.1;Brazil;2017;Non-human primate
ON022654.1;Brazil;2017;Non-human primate
ON022670.1;Brazil;2018;Non-human primate
ON022649.1;Brazil;2017;Non-human primate
ON022666.1;Brazil;2017;Non-human primate
ON022604.1;Brazil;2017;Alouatta sp
ON022624.1;Brazil;2017;Alouatta sp
ON022627.1;Brazil;2017;Alouatta sp
ON022630.1;Brazil;2017;Alouatta sp
ON022707.1;Brazil;2017;Alouatta sp
ON022655.1;Brazil;2017;Alouatta sp
ON022622.1;Brazil;2017;Alouatta sp
OP508590.1;Brazil;2019;Homo sapiens
ON022647.1;Brazil;2017;Alouatta sp
ON022605.1;Brazil;2017;Alouatta sp
MH030058.1;Brazil;2017;Alouatta sp
MH030068.1;Brazil;2017;Alouatta sp
MH030066.1;Brazil;2017;Alouatta sp
ON022390.1;Brazil;2017;Alouatta caraya
ON022381.1;Brazil;2017;Alouatta caraya
ON022646.1;Brazil;2017;Alouatta sp
ON022621.1;Brazil;2017;Non-human primate
MH030087.1;Brazil;2017;Homo sapiens
ON022685.1;Brazil;2017;Alouatta sp
MZ604865.1;Brazil;2018;Homo sapiens
MZ604856.1;Brazil;2018;Homo sapiens
MK583161.1;Brazil;2018;Homo sapiens
MK583162.1;Brazil;2018;Homo sapiens
MK583175.1;Brazil;2018;Homo sapiens
ON022744.1;Brazil;2018;Homo sapiens
MK583182.1;Brazil;2018;Homo sapiens
MH193174.1;Brazil;2018;Homo sapiens
MH030078.1;Brazil;2017;Alouatta sp
MZ604876.1;Brazil;2018;Homo sapiens
MK583176.1;Brazil;2018;Homo sapiens
ON022586.1;Brazil;2018;Alouatta sp
ON022294.1;Brazil;2018;Haemagogus leucocelaenus
ON022291.1;Brazil;2018;Haemagogus leucocelaenus
ON022293.1;Brazil;2018;Haemagogus leucocelaenus
ON022304.1;Brazil;2018;Haemagogus leucocelaenus
MH030072.1;Brazil;2017;Alouatta sp
ON022588.1;Brazil;2018;Alouatta sp
MK583156.1;Brazil;2018;Homo sapiens
MK583181.1;Brazil;2018;Homo sapiens
ON022284.1;Brazil;2018;Callithrix
MH030088.1;Brazil;2017;Homo sapiens
MK583179.1;Brazil;2018;Homo sapiens
MK583152.1;Brazil;2017;Homo sapiens
MK583178.1;Brazil;2018;Homo sapiens
ON022298.1;Brazil;2018;Homo sapiens
MK583164.1;Brazil;2018;Homo sapiens
MZ604868.1;Brazil;2018;Homo sapiens
ON022592.1;Brazil;2018;Alouatta sp
ON022577.1;Brazil;2018;Alouatta sp
ON022675.1;Brazil;2018;Alouatta sp
ON022626.1;Brazil;2017;Alouatta sp
ON022340.1;Brazil;2018;Alouatta sp
ON022348.1;Brazil;2018;Alouatta sp
ON022318.1;Brazil;2018;Homo sapiens
ON022346.1;Brazil;2018;Alouatta sp
ON022350.1;Brazil;2018;Alouatta sp
MH030089.1;Brazil;2017;Homo sapiens
ON022283.1;Brazil;2018;Callicebus
ON022668.1;Brazil;2018;Non-human primate
ON022292.1;Brazil;2018;Non-human primate
ON022594.1;Brazil;2018;Alouatta sp
ON022637.1;Brazil;2017;Alouatta sp
MK583160.1;Brazil;2018;Homo sapiens
ON022575.1;Brazil;2017;Non-human primate
MK583172.1;Brazil;2018;Homo sapiens
ON022671.1;Brazil;2018;Non-human primate
ON022565.1;Brazil;2018;Non-human primate
ON022657.1;Brazil;2018;Alouatta sp
ON022629.1;Brazil;2017;Alouatta sp
ON022572.1;Brazil;2018;Alouatta sp
ON022650.1;Brazil;2017;Alouatta sp
ON022597.1;Brazil;2018;Non-human primate
ON022635.1;Brazil;2017;Non-human primate
ON022554.1;Brazil;2018;Homo sapiens
ON022672.1;Brazil;2018;Non-human primate
ON022322.1;Brazil;2018;Non-human primate
ON022705.1;Brazil;2017;Alouatta sp
ON022682.1;Brazil;2017;Non-human primate
ON022679.1;Brazil;2017;Non-human primate
ON022680.1;Brazil;2017;Non-human primate
ON022414.1;Brazil;2017;Alouatta caraya
MH018064.1;Brazil;2017;Alouatta sp
ON022540.1;Brazil;2018;Homo sapiens
ON022541.1;Brazil;2018;Homo sapiens
ON022429.1;Brazil;2017;Alouatta caraya
ON022400.1;Brazil;2017;Callithrix penicillata
ON022600.1;Brazil;2016;Alouatta sp
ON022669.1;Brazil;2018;Callicebus
ON022599.1;Brazil;2018;Cebus
ON022689.1;Brazil;2017;Non-human primate
ON022688.1;Brazil;2016;Alouatta sp
MT497521.1;Brazil;2016;Alouatta sp
ON022677.1;Brazil;2017;Sapajus
ON022698.1;Brazil;2016;Alouatta sp
ON022681.1;Brazil;2017;Callicebus
ON022408.1;Brazil;2017;Alouatta caraya
ON022407.1;Brazil;2017;Alouatta guariba clamitans
ON022581.1;Brazil;2017;Alouatta sp
ON022686.1;Brazil;2016;Alouatta sp
MT497522.1;Brazil;2016;Alouatta sp
ON022579.1;Brazil;2017;Alouatta sp
ON022421.1;Brazil;2017;Alouatta caraya
ON022426.1;Brazil;2017;Cebidae
MT497525.1;Brazil;2017;Alouatta sp
ON022703.1;Brazil;2016;Alouatta sp
ON022591.1;Brazil;2018;Alouatta sp
ON022587.1;Brazil;2018;Alouatta sp
ON022289.1;Brazil;2018;Hg janthinomys capricornii
ON022286.1;Brazil;2018;Hg janthinomys capricornii
ON022305.1;Brazil;2018;Hg janthinomys capricornii
MH030086.1;Brazil;2017;Alouatta sp
ON022593.1;Brazil;2018;Non-human primate
ON022312.1;Brazil;2018;Callithrix
ON022584.1;Brazil;2018;Alouatta sp
MK583177.1;Brazil;2018;Homo sapiens
MH030082.1;Brazil;2017;Alouatta sp
MH030081.1;Brazil;2017;Alouatta sp
MH030079.1;Brazil;2017;Alouatta sp
ON022316.1;Brazil;2018;Homo sapiens
ON022619.1;Brazil;2017;Alouatta sp
ON022310.1;Brazil;2018;Homo sapiens
ON022290.1;Brazil;2018;Haemagogus leucocelaenus
ON022580.1;Brazil;2017;Alouatta sp
ON022615.1;Brazil;2017;Alouatta sp
ON022704.1;Brazil;2017;Non-human primate
ON022614.1;Brazil;2017;Alouatta sp
ON022386.1;Brazil;2017;Alouatta caraya
ON022693.1;Brazil;2017;Non-human primate
ON022611.1;Brazil;2017;Non-human primate
ON022573.1;Brazil;2017;Alouatta sp
ON022609.1;Brazil;2017;Alouatta sp
ON022566.1;Brazil;2017;Alouatta sp
ON022618.1;Brazil;2017;Non-human primate
ON022692.1;Brazil;2017;Alouatta sp
ON022690.1;Brazil;2017;Alouatta sp
ON022684.1;Brazil;2017;Sapajus
ON022691.1;Brazil;2017;Non-human primate
ON022616.1;Brazil;2017;Alouatta sp
ON022639.1;Brazil;2017;Callithrix
ON022589.1;Brazil;2018;Alouatta sp
ON022694.1;Brazil;2018;Alouatta sp
ON022623.1;Brazil;2017;Alouatta sp
ON022378.1;Brazil;2017;Cebidae
ON022661.1;Brazil;2018;Non-human primate
ON022710.1;Brazil;2017;Alouatta sp
ON022578.1;Brazil;2017;Alouatta sp
ON022617.1;Brazil;2017;Alouatta sp
ON022590.1;Brazil;2018;Alouatta sp
ON022687.1;Brazil;2017;Alouatta sp
ON022582.1;Brazil;2017;Cebus
MH030077.1;Brazil;2017;Alouatta sp
MH030090.1;Brazil;2017;Homo sapiens
ON022317.1;Brazil;2018;Homo sapiens
ON022612.1;Brazil;2017;Non-human primate
ON022708.1;Brazil;2017;Alouatta sp
ON022738.1;Brazil;2018;Homo sapiens
ON022576.1;Brazil;2017;Alouatta sp
ON022585.1;Brazil;2018;Cebus
MH018066.1;Brazil;2017;Alouatta sp
MH018067.1;Brazil;2017;Cebidae sp
ON022374.1;Brazil;2017;Alouatta sp
MW034590.1;Brazil;2016;Alouatta caraya
ON022303.1;Brazil;2017;Non-human primate
ON022699.1;Brazil;2017;Alouatta sp
ON022696.1;Brazil;2019;Alouatta sp
ON022651.1;Brazil;2017;Alouatta sp
ON022542.1;Brazil;2018;Homo sapiens
ON022656.1;Brazil;2018;Alouatta sp
ON022640.1;Brazil;2017;Alouatta sp
ON022643.1;Brazil;2017;Alouatta sp
ON022683.1;Brazil;2017;Non-human primate
ON022608.1;Brazil;2017;Alouatta sp
ON022662.1;Brazil;2017;Alouatta sp
ON022641.1;Brazil;2017;Alouatta sp
ON022606.1;Brazil;2017;Non-human primate
ON022603.1;Brazil;2018;Alouatta sp
ON022366.1;Brazil;2018;Alouatta sp
ON022665.1;Brazil;2017;Non-human primate
ON022695.1;Brazil;2018;Callithrix
ON022746.1;Brazil;2018;Homo sapiens
MH030070.1;Brazil;2017;Alouatta sp
MH030057.1;Brazil;2017;Alouatta sp
MK583169.1;Brazil;2018;Homo sapiens
MZ604873.1;Brazil;2018;Homo sapiens
MK583180.1;Brazil;2018;Homo sapiens
MK583174.1;Brazil;2018;Homo sapiens
MK583159.1;Brazil;2018;Homo sapiens
MK583171.1;Brazil;2018;Homo sapiens
MK583170.1;Brazil;2018;Homo sapiens
ON022299.1;Brazil;2018;Alouatta sp
MH030071.1;Brazil;2017;Alouatta sp
MK583150.1;Brazil;2018;Homo sapiens
ON022297.1;Brazil;2018;Sapajus
MH030074.1;Brazil;2017;Alouatta sp
MK583173.1;Brazil;2018;Homo sapiens
ON022349.1;Brazil;2018;Cebus
ON022625.1;Brazil;2017;Alouatta sp
MZ604861.1;Brazil;2018;Homo sapiens
MH030080.1;Brazil;2017;Alouatta sp
ON022742.1;Brazil;2018;Homo sapiens
MZ604866.1;Brazil;2018;Homo sapiens
MZ604840.1;Brazil;2018;Homo sapiens
ON022574.1;Brazil;2017;Alouatta sp
ON022701.1;Brazil;2016;Alouatta sp
MN117917.1;Brazil;2017;Ochlerotatus scapularis
ON022702.1;Brazil;2016;Sapajus
ON022301.1;Brazil;2016;mosquito
ON022302.1;Brazil;2016;mosquito
MH666057.1;Brazil;2017;Alouatta sp
MH666060.1;Brazil;2017;Haemagogus janthinomys
MH666059.1;Brazil;2017;Haemagogus leucocelaenus
ON022300.1;Brazil;2017;mosquito
MH018082.1;Brazil;2017;Callithrix sp
MH018065.1;Brazil;2017;Cebidae sp
JF912181.1;Brazil;1983;Homo sapiens
MH484430.1;Brazil;2017;Callithrix sp
MF170971.1;Brazil;2017;New World monkey
MH018115.1;Brazil;2017;Non-human primate
MK333804.1;Brazil;2015;Sapajus libidinosus
MK728873.1;Brazil;2017;Homo sapiens
ON022275.1;Brazil;2018;Homo sapiens
ON022274.1;Brazil;2018;Homo sapiens
ON022238.1;Brazil;2017;Non-human primate
ON022239.1;Brazil;2018;Homo sapiens
ON022276.1;Brazil;2018;Homo sapiens
MK333809.1;Brazil;2018;Haemagogus janthinomys
MK333807.1;Brazil;2018;Haemagogus leucocelaenus
ON502416.1;Brazil;2018;Homo sapiens
MK333806.1;Brazil;2018;Haemagogus janthinomys
ON022242.1;Brazil;2018;Homo sapiens
MN506290.1;Brazil;2018;Haemagogus janthinomys
ON022271.1;Brazil;2018;Homo sapiens
ON022270.1;Brazil;2018;Homo sapiens
MN643077.1;Brazil;2018;Homo sapiens
ON022508.1;Brazil;2018;Homo sapiens
ON022498.1;Brazil;2018;Homo sapiens
ON022729.1;Brazil;2018;Homo sapiens
ON022483.1;Brazil;2018;Homo sapiens
ON022476.1;Brazil;2018;Homo sapiens
ON022492.1;Brazil;2018;Homo sapiens
ON022506.1;Brazil;2018;Homo sapiens
ON022500.1;Brazil;2018;Homo sapiens
ON022448.1;Brazil;2018;Callithrix
ON022420.1;Brazil;2017;Alouatta caraya
ON022424.1;Brazil;2017;Alouatta guariba clamitans
MN643080.1;Brazil;2018;Homo sapiens
MN506265.1;Brazil;2017;Haemagogus janthinomys
ON022240.1;Brazil;2018;Alouatta sp
MN643078.1;Brazil;2018;Homo sapiens
MN604284.1;Brazil;2017;Homo sapiens
ON022471.1;Brazil;2018;Homo sapiens
ON022450.1;Brazil;2018;Callithrix
MK882619.1;Brazil;2018;Homo sapiens
ON022280.1;Brazil;2017;Alouatta sp
MK882604.1;Brazil;2017;Homo sapiens
MN643079.1;Brazil;2018;Homo sapiens
ON022281.1;Brazil;2017;Alouatta sp
MF423377.2;Brazil;2017;Alouatta guariba clamitans
MF538785.2;Brazil;2017;marmoset
MF370548.1;Brazil;2017;Alouatta sp
MF170975.1;Brazil;2017;Homo sapiens
MK882610.1;Brazil;2017; NA
